time	V(X,Y)
3.605828677479051e-04	-2.823185e-03
3.610711489979051e-04	-3.615264e-03
3.615594302479051e-04	-4.305575e-03
3.620477114979051e-04	-4.901002e-03
3.625359927479051e-04	-5.408220e-03
3.630242739979051e-04	-5.833686e-03
3.635125552479051e-04	-6.183623e-03
3.640008364979051e-04	-6.464008e-03
3.644891177479051e-04	-6.680574e-03
3.649773989979051e-04	-6.838798e-03
3.654656802479051e-04	-6.943899e-03
3.659539614979051e-04	-7.000839e-03
3.664422427479051e-04	-7.014323e-03
3.669305239979051e-04	-6.988797e-03
3.674188052479051e-04	-6.928458e-03
3.679070864979051e-04	-6.837248e-03
3.683953677479051e-04	-6.718868e-03
3.688836489979051e-04	-6.576778e-03
3.693719302479051e-04	-6.414207e-03
3.698602114979051e-04	-6.234156e-03
3.703484927479051e-04	-6.039410e-03
3.708367739979051e-04	-5.832539e-03
3.713250552479051e-04	-5.615915e-03
3.718133364979051e-04	-5.391714e-03
3.723016177479051e-04	-5.161925e-03
3.727898989979051e-04	-4.928362e-03
3.732781802479051e-04	-4.692670e-03
3.737664614979051e-04	-4.456333e-03
3.742547427479051e-04	-4.220686e-03
3.747430239979051e-04	-3.986920e-03
3.752313052479051e-04	-3.756094e-03
3.757195864979051e-04	-3.529139e-03
3.762078677479051e-04	-3.306868e-03
3.766961489979051e-04	-3.089987e-03
3.771844302479051e-04	-2.879098e-03
3.776727114979051e-04	-2.674708e-03
3.781609927479051e-04	-2.477236e-03
3.786492739979051e-04	-2.287023e-03
3.791375552479051e-04	-2.104333e-03
3.796258364979051e-04	-1.929362e-03
3.801141177479051e-04	-1.762247e-03
3.806023989979051e-04	-1.603065e-03
3.810906802479051e-04	-1.451846e-03
3.815789614979052e-04	-1.308571e-03
3.820672427479052e-04	-1.173183e-03
3.825555239979052e-04	-1.045587e-03
3.830438052479052e-04	-9.256571e-04
3.835320864979052e-04	-8.132383e-04
3.840203677479052e-04	-7.081524e-04
3.845086489979052e-04	-6.102000e-04
