time	I(L1)
2.444440697916205e-04	8.334453e-02
2.449323510416205e-04	8.328726e-02
2.454206322916205e-04	8.323324e-02
2.459089135416205e-04	8.318240e-02
2.463971947916205e-04	8.313470e-02
2.468854760416205e-04	8.309007e-02
2.473737572916205e-04	8.304843e-02
2.478620385416205e-04	8.300967e-02
2.483503197916205e-04	8.297372e-02
2.488386010416205e-04	8.294047e-02
2.493268822916205e-04	8.290983e-02
2.498151635416205e-04	8.288168e-02
2.503034447916205e-04	8.285592e-02
2.507917260416205e-04	8.283244e-02
2.512800072916205e-04	8.281112e-02
2.517682885416205e-04	8.279186e-02
2.522565697916205e-04	8.277453e-02
2.527448510416205e-04	8.275905e-02
2.532331322916205e-04	8.274529e-02
2.537214135416205e-04	8.273315e-02
2.542096947916205e-04	8.272254e-02
2.546979760416205e-04	8.271334e-02
2.551862572916205e-04	8.270545e-02
2.556745385416205e-04	8.269879e-02
2.561628197916205e-04	8.269326e-02
2.566511010416205e-04	8.268878e-02
2.571393822916205e-04	8.268525e-02
2.576276635416205e-04	8.268261e-02
2.581159447916205e-04	8.268077e-02
2.586042260416205e-04	8.267965e-02
2.590925072916205e-04	8.267920e-02
2.595807885416205e-04	8.267933e-02
2.600690697916205e-04	8.267999e-02
2.605573510416205e-04	8.268113e-02
2.610456322916205e-04	8.268268e-02
2.615339135416205e-04	8.268460e-02
2.620221947916205e-04	8.268683e-02
2.625104760416205e-04	8.268933e-02
2.629987572916205e-04	8.269206e-02
2.634870385416205e-04	8.269499e-02
2.639753197916205e-04	8.269807e-02
2.644636010416205e-04	8.270127e-02
2.649518822916205e-04	8.270457e-02
2.654401635416205e-04	8.270793e-02
2.659284447916205e-04	8.271134e-02
2.664167260416205e-04	8.271476e-02
2.669050072916205e-04	8.271818e-02
2.673932885416205e-04	8.272158e-02
2.678815697916205e-04	8.272494e-02
2.683698510416205e-04	8.272825e-02
2.688581322916205e-04	8.273150e-02
2.693464135416205e-04	8.273468e-02
2.698346947916206e-04	8.273777e-02
2.703229760416206e-04	8.274078e-02
2.708112572916206e-04	8.274367e-02
2.712995385416206e-04	8.274648e-02
2.717878197916206e-04	8.274917e-02
2.722761010416206e-04	8.275175e-02
2.727643822916206e-04	8.275422e-02
2.732526635416206e-04	8.275658e-02
2.737409447916206e-04	8.275881e-02
2.742292260416206e-04	8.276094e-02
2.747175072916206e-04	8.276295e-02
2.752057885416206e-04	8.276485e-02
2.756940697916206e-04	8.276663e-02
2.761823510416206e-04	8.276831e-02
2.766706322916206e-04	8.276987e-02
2.771589135416206e-04	8.277134e-02
2.776471947916206e-04	8.277269e-02
2.781354760416206e-04	8.277396e-02
2.786237572916206e-04	8.277513e-02
2.791120385416206e-04	8.277620e-02
2.796003197916206e-04	8.277719e-02
2.800886010416206e-04	8.277810e-02
2.805768822916206e-04	8.277892e-02
2.810651635416206e-04	8.277968e-02
2.815534447916206e-04	8.278035e-02
2.820417260416206e-04	8.278096e-02
2.825300072916206e-04	8.278151e-02
2.830182885416206e-04	8.278199e-02
2.835065697916206e-04	8.278242e-02
2.839948510416206e-04	8.278279e-02
2.844831322916206e-04	8.278312e-02
2.849714135416206e-04	8.278339e-02
2.854596947916206e-04	8.278363e-02
2.859479760416206e-04	8.278383e-02
2.864362572916206e-04	8.278398e-02
2.869245385416206e-04	8.278411e-02
2.874128197916206e-04	8.278421e-02
2.879011010416206e-04	8.278427e-02
2.883893822916206e-04	8.278431e-02
2.888776635416206e-04	8.278432e-02
2.893659447916206e-04	8.278432e-02
2.898542260416206e-04	8.278430e-02
2.903425072916206e-04	8.278426e-02
2.908307885416206e-04	8.278421e-02
2.913190697916206e-04	8.278414e-02
2.918073510416206e-04	8.278406e-02
2.922956322916206e-04	8.278397e-02
2.927839135416206e-04	8.278388e-02
2.932721947916206e-04	8.278378e-02
2.937604760416206e-04	8.278367e-02
2.942487572916206e-04	8.278356e-02
2.947370385416206e-04	8.278345e-02
2.952253197916206e-04	8.278333e-02
2.957136010416206e-04	8.278321e-02
2.962018822916206e-04	8.278309e-02
2.966901635416206e-04	8.278297e-02
2.971784447916206e-04	8.278285e-02
2.976667260416206e-04	8.278273e-02
2.981550072916206e-04	8.278262e-02
2.986432885416206e-04	8.278250e-02
2.991315697916206e-04	8.278239e-02
2.996198510416206e-04	8.278228e-02
3.000000010000000e-04	8.278220e-02
3.000000020000000e-04	8.278220e-02
3.000000179999999e-04	8.278219e-02
3.000000499999998e-04	8.278216e-02
3.000001139999995e-04	8.278211e-02
3.000002419999990e-04	8.278202e-02
3.000004979999980e-04	8.278182e-02
3.000010099999959e-04	8.278143e-02
3.000020339999918e-04	8.278065e-02
3.000040819999837e-04	8.277909e-02
3.000081779999673e-04	8.277594e-02
3.000163699999346e-04	8.276955e-02
3.000327539998691e-04	8.275641e-02
3.000655219997382e-04	8.272870e-02
3.001310579994763e-04	8.266760e-02
3.002621299989526e-04	8.252313e-02
3.005242739979051e-04	8.214860e-02
3.010125552479051e-04	8.116898e-02
3.015008364979051e-04	7.985607e-02
3.019891177479051e-04	7.825158e-02
3.024773989979051e-04	7.639443e-02
3.029656802479051e-04	7.432088e-02
3.034539614979051e-04	7.206453e-02
3.039422427479051e-04	6.965651e-02
3.044305239979051e-04	6.712550e-02
3.049188052479051e-04	6.449786e-02
3.054070864979051e-04	6.179772e-02
3.058953677479051e-04	5.904711e-02
3.063836489979051e-04	5.626603e-02
3.068719302479051e-04	5.347255e-02
3.073602114979051e-04	5.068294e-02
3.078484927479051e-04	4.791174e-02
3.083367739979051e-04	4.517192e-02
3.088250552479051e-04	4.247489e-02
3.093133364979051e-04	3.983065e-02
3.098016177479051e-04	3.724790e-02
3.102898989979051e-04	3.473409e-02
3.107781802479051e-04	3.229553e-02
3.112664614979051e-04	2.993745e-02
3.117547427479051e-04	2.766414e-02
3.122430239979051e-04	2.547896e-02
3.127313052479051e-04	2.338446e-02
3.132195864979051e-04	2.138245e-02
3.137078677479051e-04	1.947403e-02
3.141961489979051e-04	1.765970e-02
3.146844302479051e-04	1.593940e-02
3.151727114979051e-04	1.431258e-02
3.156609927479051e-04	1.277823e-02
3.161492739979051e-04	1.133496e-02
3.166375552479051e-04	9.981040e-03
3.171258364979051e-04	8.714431e-03
3.176141177479051e-04	7.532844e-03
3.181023989979051e-04	6.433770e-03
3.185906802479051e-04	5.414519e-03
3.190789614979051e-04	4.472252e-03
3.195672427479051e-04	3.604016e-03
3.200555239979051e-04	2.806765e-03
3.205438052479051e-04	2.077389e-03
3.210320864979051e-04	1.412739e-03
3.215203677479051e-04	8.096467e-04
3.220086489979051e-04	2.649426e-04
3.224969302479051e-04	-2.245261e-04
3.229852114979051e-04	-6.618804e-04
3.234734927479051e-04	-1.050196e-03
